Draw Date,Draw 1,Draw 2,Draw 3,Draw 4,Draw 5,Draw 6,LPlay
2/14/2004,50,31,3,21,5,27,L
2/18/2004,14,17,45,2,47,51,L
2/21/2004,12,49,18,42,20,37,L
2/25/2004,41,53,42,36,37,24,L
2/28/2004,20,43,33,12,13,27,L
3/3/2004,51,11,4,9,47,8,L
3/6/2004,44,25,11,9,42,48,L
3/10/2004,30,14,11,34,10,21,L
3/13/2004,51,25,42,33,40,15,L
3/17/2004,50,3,47,15,34,45,L
3/20/2004,35,46,27,6,28,48,L
3/24/2004,18,5,44,8,35,52,L
3/27/2004,41,52,21,49,15,43,L
3/31/2004,16,6,22,13,24,4,L
4/3/2004,49,30,16,41,36,23,L
4/7/2004,43,22,34,5,19,53,L
4/10/2004,4,42,16,52,25,13,L
4/14/2004,48,17,47,3,20,40,L
4/17/2004,42,47,1,36,13,22,L
4/21/2004,24,43,44,49,11,20,L
4/24/2004,47,33,30,15,25,12,L
4/28/2004,9,25,22,21,50,53,L
5/1/2004,29,41,11,13,51,18,L
5/5/2004,27,4,23,21,12,3,L
5/8/2004,21,2,27,18,16,10,L
5/12/2004,29,48,37,15,18,51,L
5/15/2004,48,4,25,31,18,12,L
5/19/2004,13,15,17,33,39,44,L
5/22/2004,2,25,14,49,15,47,L
5/26/2004,6,33,15,26,12,47,L
5/29/2004,26,44,39,23,30,17,L
6/2/2004,38,8,53,22,35,37,L
6/5/2004,24,53,16,12,36,42,L
6/9/2004,18,28,43,12,34,49,L
6/12/2004,22,15,11,24,8,20,L
6/16/2004,39,37,47,12,43,21,L
6/19/2004,17,35,36,41,5,34,L
6/23/2004,51,33,18,27,19,17,L
6/26/2004,28,32,4,35,12,18,L
6/30/2004,21,24,31,17,2,29,L
7/3/2004,12,16,49,48,51,28,L
7/7/2004,47,29,16,45,32,42,L
7/10/2004,44,23,36,33,16,8,L
7/14/2004,19,28,20,36,45,34,L
7/17/2004,36,12,3,46,25,47,L
7/21/2004,23,9,43,11,33,36,L
7/24/2004,48,20,34,19,15,28,L
7/28/2004,9,12,8,44,32,7,L
7/31/2004,45,50,6,12,52,14,L
8/4/2004,17,28,1,40,16,26,L
8/7/2004,15,18,14,28,25,7,L
8/11/2004,10,35,13,44,3,25,L
8/14/2004,48,3,51,6,4,20,L
8/18/2004,44,9,49,31,6,22,L
8/21/2004,46,30,17,16,19,48,L
8/25/2004,17,14,3,43,8,41,L
8/28/2004,53,23,39,36,46,10,L
9/1/2004,11,40,31,7,9,18,L
9/4/2004,12,8,6,37,11,1,L
9/8/2004,30,20,50,34,43,8,L
9/11/2004,45,12,39,42,29,8,L
9/15/2004,40,17,29,22,1,34,L
9/18/2004,2,31,16,43,32,4,L
9/22/2004,11,37,48,17,36,26,L
9/25/2004,18,20,7,32,4,25,L
9/29/2004,7,35,1,26,50,22,L
10/2/2004,16,52,6,38,36,8,L
10/6/2004,21,36,30,2,23,48,L
10/9/2004,49,40,25,28,47,3,L
10/13/2004,42,27,50,48,26,10,L
10/16/2004,36,24,13,34,20,50,L
10/20/2004,10,24,48,8,26,49,L
10/23/2004,27,22,37,5,40,52,L
10/27/2004,42,26,6,40,39,7,L
10/30/2004,51,31,28,13,10,30,L
11/3/2004,22,13,37,39,32,12,L
11/6/2004,37,3,31,48,33,13,L
11/10/2004,1,34,35,16,41,47,L
11/13/2004,27,52,10,25,42,14,L
11/17/2004,10,33,35,20,51,6,L
11/20/2004,10,46,15,39,22,52,L
11/24/2004,8,31,29,7,33,28,L
11/27/2004,4,30,14,12,42,46,L
12/1/2004,49,2,44,52,39,20,L
12/4/2004,6,41,7,46,50,13,L
12/8/2004,26,46,38,13,34,48,L
12/11/2004,41,10,38,33,39,44,L
12/15/2004,51,17,21,35,52,29,L
12/18/2004,46,26,52,38,1,35,L
12/22/2004,2,29,35,1,36,16,L
12/25/2004,11,42,44,18,53,12,L
12/29/2004,19,38,50,28,20,21,L
1/1/2005,46,21,11,35,32,42,L
1/5/2005,2,9,21,22,33,49,L
1/8/2005,43,4,30,25,39,28,L
1/12/2005,15,13,42,1,2,6,L
1/15/2005,46,31,52,47,21,50,L
1/19/2005,22,41,19,51,15,32,L
1/22/2005,7,24,33,35,40,43,L
1/26/2005,10,35,22,12,32,1,L
1/29/2005,4,15,43,30,14,50,L
2/2/2005,4,8,22,25,29,42,L
2/5/2005,3,5,13,15,21,26,L
2/9/2005,9,11,29,39,45,47,L
2/12/2005,3,17,19,28,33,48,L
2/16/2005,6,7,8,35,48,52,L
2/19/2005,7,13,26,28,34,43,L
2/23/2005,4,13,17,18,25,38,L
2/26/2005,1,20,27,32,38,51,L
3/2/2005,5,12,19,25,40,43,L
3/5/2005,2,17,18,39,41,43,L
3/9/2005,2,4,26,32,39,52,L
3/12/2005,3,4,19,29,34,37,L
3/16/2005,5,30,31,36,41,43,L
3/19/2005,18,30,37,39,42,45,L
3/23/2005,5,13,23,33,43,46,L
3/26/2005,6,12,15,41,42,52,L
3/30/2005,1,19,37,38,46,53,L
4/2/2005,12,13,16,28,30,44,L
4/6/2005,3,11,18,29,52,53,L
4/9/2005,10,15,23,28,35,49,L
4/13/2005,8,9,10,31,47,50,L
4/16/2005,5,11,23,31,39,48,L
4/20/2005,1,7,25,30,41,46,L
4/23/2005,9,12,14,18,19,23,L
4/27/2005,2,25,26,27,30,37,L
4/30/2005,8,18,20,31,45,50,L
5/4/2005,10,19,22,33,34,44,L
5/7/2005,3,25,29,47,50,53,L
5/11/2005,4,5,9,17,19,30,L
5/14/2005,5,10,16,21,47,53,L
5/18/2005,14,20,21,29,36,44,L
5/21/2005,2,16,17,18,20,29,L
5/25/2005,13,32,33,34,47,49,L
5/28/2005,7,18,23,25,31,32,L
6/1/2005,18,19,21,34,36,49,L
6/4/2005,9,11,16,22,44,52,L
6/8/2005,17,21,22,40,43,45,L
6/11/2005,2,7,9,12,20,23,L
6/15/2005,2,20,22,30,31,51,L
6/18/2005,1,5,18,20,22,47,L
6/22/2005,5,14,22,35,41,42,L
6/25/2005,6,8,16,28,46,48,L
6/29/2005,1,3,6,11,27,44,L
7/2/2005,1,15,22,30,48,51,L
7/6/2005,1,11,18,24,25,47,L
7/9/2005,6,8,18,32,38,45,L
7/13/2005,4,13,21,33,34,47,L
7/16/2005,1,20,33,35,37,48,L
7/20/2005,1,6,9,16,22,43,L
7/23/2005,1,8,15,36,37,44,L
7/27/2005,7,9,26,32,40,51,L
7/30/2005,19,22,24,29,30,34,L
8/3/2005,4,11,21,30,32,46,L
8/6/2005,16,22,25,28,39,53,L
8/10/2005,2,20,22,32,40,44,L
8/13/2005,6,19,21,27,40,51,L
8/17/2005,24,28,31,32,34,52,L
8/20/2005,22,30,37,42,44,51,L
8/24/2005,6,7,13,29,44,53,L
8/27/2005,2,14,21,23,32,34,L
8/31/2005,3,13,14,19,23,53,L
9/3/2005,9,11,18,27,40,51,L
9/7/2005,1,15,21,40,46,49,L
9/10/2005,7,20,40,41,43,47,L
9/14/2005,3,6,11,15,39,51,L
9/17/2005,10,42,45,47,52,53,L
9/21/2005,16,30,35,38,44,53,L
9/24/2005,9,11,18,27,38,39,L
9/28/2005,17,18,25,36,39,45,L
10/1/2005,5,15,29,38,45,49,L
10/5/2005,14,19,28,31,36,40,L
10/8/2005,13,20,22,30,39,48,L
10/12/2005,17,22,25,30,43,52,L
10/15/2005,6,11,16,24,40,52,L
10/19/2005,3,27,34,36,42,44,L
10/22/2005,4,19,27,35,43,48,L
10/26/2005,17,33,34,46,49,52,L
10/29/2005,10,25,29,40,43,48,L
11/2/2005,16,39,43,46,49,50,L
11/5/2005,2,3,16,21,36,39,L
11/9/2005,1,3,6,18,44,49,L
11/12/2005,1,8,32,34,49,52,L
11/16/2005,6,8,18,39,45,51,L
11/19/2005,5,10,27,44,45,50,L
11/23/2005,6,18,21,23,35,36,L
11/26/2005,6,19,37,49,51,53,L
11/30/2005,3,13,15,29,35,50,L
12/3/2005,11,24,25,26,29,51,L
12/7/2005,2,7,10,14,16,43,L
12/10/2005,11,19,33,36,43,44,L
12/14/2005,8,12,38,44,47,50,L
12/17/2005,9,10,16,22,25,28,L
12/21/2005,3,4,5,9,44,51,L
12/24/2005,1,22,26,40,48,50,L
12/28/2005,1,22,26,29,31,39,L
12/31/2005,1,8,12,19,38,53,L
1/4/2006,7,10,29,33,34,41,L
1/7/2006,1,3,6,11,14,50,L
1/11/2006,15,22,29,31,35,51,L
1/14/2006,8,21,29,35,41,43,L
1/18/2006,13,26,30,32,37,42,L
1/21/2006,5,24,25,33,38,43,L
1/25/2006,8,12,16,23,38,41,L
1/28/2006,20,26,28,30,32,45,L
2/1/2006,15,27,32,33,34,45,L
2/4/2006,7,20,21,33,39,51,L
2/8/2006,2,16,24,30,39,40,L
2/11/2006,7,10,11,30,37,39,L
2/15/2006,7,11,23,24,25,29,L
2/18/2006,5,26,34,40,41,49,L
2/22/2006,26,31,34,44,46,53,L
2/25/2006,17,29,32,47,48,52,L
3/1/2006,2,7,13,36,37,45,L
3/4/2006,11,17,20,27,35,38,L
3/8/2006,10,11,23,29,41,45,L
3/11/2006,7,10,13,25,29,32,L
3/15/2006,14,15,29,46,49,52,L
3/18/2006,4,21,28,44,48,49,L
3/22/2006,1,9,28,36,44,48,L
3/25/2006,5,6,37,40,44,51,L
3/29/2006,2,7,12,20,26,45,L
4/1/2006,21,25,36,39,43,51,L
4/5/2006,13,30,32,37,40,46,L
4/8/2006,9,19,24,47,48,51,L
4/12/2006,5,9,19,26,45,46,L
4/15/2006,2,4,12,35,44,46,L
4/19/2006,12,13,17,27,32,36,L
4/22/2006,5,10,23,31,43,47,L
4/26/2006,1,28,30,39,49,50,L
4/29/2006,15,17,21,27,29,43,L
5/3/2006,4,7,9,12,18,22,L
5/6/2006,7,24,28,38,50,53,L
5/10/2006,12,14,20,39,42,49,L
5/13/2006,1,5,12,27,33,52,L
5/17/2006,2,4,8,16,24,46,L
5/20/2006,15,20,23,30,34,41,L
5/24/2006,3,12,19,23,28,35,L
5/27/2006,2,3,8,33,40,51,L
5/31/2006,14,24,30,34,43,44,L
6/3/2006,1,12,23,26,37,46,L
6/7/2006,15,24,29,32,51,53,L
6/10/2006,7,15,30,31,34,35,L
6/14/2006,5,15,16,18,21,36,L
6/17/2006,10,12,28,38,39,49,L
6/21/2006,6,14,31,32,48,51,L
6/24/2006,7,15,38,46,47,50,L
6/28/2006,17,26,30,39,49,50,L
7/1/2006,2,13,16,34,36,43,L
7/5/2006,1,7,8,11,14,52,L
7/8/2006,4,7,25,37,45,51,L
7/12/2006,9,27,28,30,42,51,L
7/15/2006,13,27,30,33,34,40,L
7/19/2006,3,29,32,44,48,50,L
7/22/2006,9,33,40,42,50,51,L
7/26/2006,1,6,17,30,42,49,L
7/29/2006,16,25,27,30,34,44,L
8/2/2006,3,9,18,38,39,41,L
8/5/2006,13,15,18,22,29,44,L
8/9/2006,14,20,30,31,33,34,L
8/12/2006,11,13,18,26,44,50,L
8/16/2006,3,6,21,25,27,32,L
8/19/2006,5,13,27,29,32,37,L
8/23/2006,5,10,22,25,39,45,L
8/26/2006,13,15,24,26,35,43,L
8/30/2006,6,10,11,31,36,52,L
9/2/2006,1,5,18,22,27,50,L
9/6/2006,10,12,23,27,50,53,L
9/9/2006,3,4,15,39,44,48,L
9/13/2006,4,10,11,26,27,39,L
9/16/2006,7,10,15,24,25,29,L
9/20/2006,13,15,29,35,45,49,L
9/23/2006,5,17,28,31,47,51,L
9/27/2006,3,7,8,10,22,42,L
9/30/2006,6,17,23,24,36,40,L
10/4/2006,7,8,27,28,30,33,L
10/7/2006,6,37,41,43,45,47,L
10/11/2006,12,15,24,30,40,48,L
10/14/2006,5,9,14,21,22,42,L
10/18/2006,3,5,23,35,36,42,L
10/21/2006,4,7,8,11,20,27,L
10/25/2006,13,20,27,33,41,43,L
10/28/2006,8,9,20,43,48,53,L
