Draw Date,Draw 1,Draw 2,Draw 3,Draw 4,Draw 5,MegaBall,Multiplier
12/3/2013,7,12,41,44,59,3,X3
12/6/2013,11,29,44,63,64,3,X3
12/10/2013,5,12,22,41,65,13,X2
12/13/2013,19,24,26,27,70,12,X2
12/17/2013,8,14,17,20,39,7,X4
12/20/2013,3,4,31,49,57,6,X2
12/24/2013,23,34,53,58,73,2,X3
12/27/2013,4,15,35,48,49,11,X5
12/31/2013,8,12,34,52,58,8,X3
1/3/2014,22,24,25,40,70,5,X5
1/7/2014,13,34,56,62,64,6,X5
1/10/2014,8,28,36,37,57,8,X3
1/14/2014,4,23,26,62,69,13,X3
1/17/2014,1,10,26,31,51,11,X4
1/21/2014,8,23,33,45,52,4,X4
1/24/2014,22,45,46,47,65,10,X5
1/28/2014,7,16,28,53,60,2,X3
1/31/2014,3,9,13,47,52,8,X4
2/4/2014,25,44,49,60,73,9,X3
2/7/2014,11,21,23,35,64,10,X3
2/11/2014,43,64,67,71,73,4,X2
2/14/2014,20,28,35,71,72,7,X3
2/18/2014,23,29,31,37,70,14,X5
2/21/2014,23,29,32,45,46,15,X5
2/25/2014,12,18,25,35,66,15,X5
2/28/2014,3,31,50,58,59,6,X4
3/4/2014,10,29,31,35,45,10,X2
3/7/2014,11,13,51,57,69,1,X4
3/11/2014,9,14,56,57,69,10,X4
3/14/2014,7,20,40,54,69,12,X3
3/18/2014,11,19,24,33,51,7,X3
3/21/2014,2,23,30,35,53,10,X5
3/25/2014,19,26,51,57,73,15,X3
3/28/2014,2,3,9,50,73,12,X3
4/1/2014,10,23,68,74,75,9,X5
4/4/2014,1,10,15,41,54,9,X2
4/8/2014,35,36,41,60,71,3,X3
4/11/2014,3,42,44,47,57,8,X5
4/15/2014,4,39,46,47,70,13,X3
4/18/2014,18,25,38,45,63,9,X2
4/22/2014,2,18,19,49,50,1,X3
4/25/2014,3,11,18,20,66,9,X2
4/29/2014,7,43,59,61,66,3,X3
5/2/2014,1,18,26,35,40,13,X5
5/6/2014,18,20,27,48,51,5,X3
5/9/2014,10,28,39,51,59,14,X2
5/13/2014,37,46,48,70,74,1,X2
5/16/2014,13,14,16,50,56,11,X5
5/20/2014,10,40,63,64,69,7,X2
5/23/2014,12,14,21,38,70,15,X4
5/27/2014,1,6,10,46,58,13,X2
5/30/2014,10,13,42,43,62,2,X4
6/3/2014,19,28,62,66,74,6,X3
6/6/2014,12,29,37,49,72,9,X4
6/10/2014,2,10,24,26,74,7,X5
6/13/2014,7,38,46,49,56,1,X5
6/17/2014,10,14,24,47,60,3,X4
6/20/2014,1,22,25,29,56,3,X5
6/24/2014,13,17,24,47,65,10,X4
6/27/2014,15,29,31,46,64,10,X3
7/1/2014,9,22,38,47,49,15,X3
7/4/2014,16,33,39,58,69,2,X5
7/8/2014,14,25,27,48,49,9,X5
7/11/2014,9,13,30,35,69,10,X5
7/15/2014,2,4,17,36,40,5,X2
7/18/2014,5,8,59,65,72,3,X3
7/22/2014,14,18,22,31,47,15,X3
7/25/2014,22,29,33,41,68,12,X5
7/29/2014,2,8,16,43,74,1,X4
8/1/2014,13,29,34,37,72,6,X5
8/5/2014,25,28,36,45,53,6,X5
8/8/2014,9,16,61,70,75,7,X5
8/12/2014,32,53,60,63,68,6,X4
8/15/2014,16,19,28,29,68,9,X2
8/19/2014,22,39,56,67,71,15,X4
8/22/2014,5,31,34,41,74,3,X5
8/26/2014,29,31,51,60,64,1,X5
8/29/2014,3,26,45,58,73,12,X2
9/2/2014,1,8,54,69,72,1,X3
9/5/2014,7,12,20,24,59,7,X2
9/9/2014,25,34,55,70,71,1,X4
9/12/2014,18,28,33,36,42,7,X3
9/16/2014,25,45,51,53,73,2,X2
9/19/2014,16,25,27,29,34,2,X2
9/23/2014,21,24,25,40,43,12,X5
9/26/2014,17,26,35,46,62,9,X5
9/30/2014,3,16,52,54,61,6,X5
10/3/2014,3,20,34,58,67,6,X3
10/7/2014,16,29,46,48,55,2,X3
10/10/2014,2,32,35,50,59,3,X5
10/14/2014,11,37,46,64,68,15,X3
10/17/2014,21,31,43,56,60,12,X4
10/21/2014,5,35,37,41,66,11,X5
10/24/2014,2,14,21,28,55,3,X3
10/28/2014,3,50,57,58,60,11,X5
10/31/2014,11,29,36,58,67,15,X2
11/4/2014,9,15,24,39,41,1,X4
11/7/2014,31,35,41,65,66,5,X5
11/11/2014,23,25,28,30,75,11,X5
11/14/2014,3,49,61,62,68,15,X5
11/18/2014,37,39,53,68,75,6,X2
11/21/2014,3,12,35,37,63,15,X2
11/25/2014,10,11,29,47,56,4,X2
11/28/2014,8,26,29,36,47,10,X3
12/2/2014,13,18,22,49,62,11,X5
12/5/2014,4,5,11,51,59,5,X5
12/9/2014,27,45,49,51,52,14,X5
12/12/2014,2,31,46,58,65,7,X5
12/16/2014,41,58,68,72,73,1,X5
12/19/2014,14,18,58,59,68,4,X3
12/23/2014,4,10,31,56,66,7,X3
